,order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name_order,city,membership,cuisine,rating
0,1,2508,450,18-02-2023,842.97,New Foods Chinese,Hyderabad,Regular,Mexican,3.2
1,2,2693,309,18-01-2023,546.68,Ruchi Curry House Multicuisine,Pune,Regular,Indian,4.5
2,3,2084,107,15-07-2023,163.93,Spice Kitchen Punjabi,Chennai,Gold,Mexican,4.0
3,4,319,224,04-10-2023,1155.97,Darbar Kitchen Non-Veg,Bangalore,Gold,Chinese,4.8
4,5,1064,293,25-12-2023,1321.91,Royal Eatery South Indian,Pune,Regular,Italian,3.0
5,6,2933,499,12-07-2023,1497.22,Annapurna Tiffins South Indian,Chennai,Regular,Mexican,4.9
6,7,970,35,30-05-2023,129.21,Royal Biryani North Indian,Bangalore,Regular,Chinese,3.9
7,8,891,57,07-11-2023,269.19,Spice Mess Punjabi,Pune,Regular,Mexican,4.4
8,9,364,7,05-12-2023,953.3,Ruchi Biryani Punjabi,Chennai,Gold,Italian,3.2
9,10,2972,183,30-12-2023,351.41,Taste of Biryani Non-Veg,Bangalore,Regular,Chinese,3.7
10,11,924,235,10-12-2023,523.82,Amma Delights Family Restaurant,Chennai,Regular,Italian,4.5
11,12,884,423,27-10-2023,1484.65,Royal Tiffins Multicuisine,Pune,Gold,Indian,3.2
12,13,1958,244,11-08-2023,216.59,Amma Tiffins South Indian,Chennai,Regular,Italian,4.3
13,14,364,112,24-09-2023,898.24,Grand Cafe Punjabi,Chennai,Gold,Chinese,3.2
14,15,1733,383,17-07-2023,1098.41,Amma Biryani North Indian,Pune,Regular,Indian,3.1
15,16,1321,149,17-07-2023,475.74,Amma Restaurant South Indian,Pune,Gold,Mexican,3.6
16,17,1896,421,09-04-2023,1002.51,Ruchi Foods Chinese,Pune,Regular,Indian,3.0
17,18,1617,414,23-04-2023,736.89,Darbar Delights South Indian,Pune,Gold,Chinese,4.7
18,19,330,73,27-12-2023,392.59,Spice Mess Andhra,Chennai,Regular,Mexican,3.1
19,20,2567,52,03-02-2023,362.01,Udupi Curry House South Indian,Bangalore,Gold,Mexican,4.9
20,21,1610,186,13-08-2023,743.68,Darbar Restaurant North Indian,Pune,Regular,Indian,4.3
21,22,688,279,12-07-2023,507.82,Sri Tiffins Andhra,Hyderabad,Gold,Italian,4.9
22,23,2640,83,14-06-2023,1025.36,Darbar Mess Pure Veg,Bangalore,Gold,Chinese,3.5
23,24,2403,434,22-01-2023,412.5,Amma Kitchen Punjabi,Pune,Gold,Italian,4.7
24,25,288,18,07-06-2023,147.9,Annapurna Kitchen Family Restaurant,Pune,Regular,Italian,4.5
25,26,2915,129,24-12-2023,933.31,New Cafe North Indian,Chennai,Gold,Indian,4.1
26,27,1056,399,08-08-2023,678.38,Swagath Cafe Multicuisine,Bangalore,Regular,Chinese,3.2
27,28,2370,63,23-03-2023,900.74,Ruchi Foods South Indian,Bangalore,Regular,Italian,5.0
28,29,2905,115,20-09-2023,903.0,Annapurna Eatery Non-Veg,Pune,Gold,Chinese,3.3
29,30,2009,18,23-04-2023,996.26,Annapurna Kitchen Family Restaurant,Chennai,Gold,Italian,4.5
30,31,1986,190,03-04-2023,199.16,Amma Restaurant Pure Veg,Bangalore,Regular,Chinese,3.1
31,32,1407,93,26-01-2023,741.1,Swagath Cafe Multicuisine,Pune,Gold,Chinese,4.9
32,33,1761,346,04-07-2023,957.07,Amma Dhaba Non-Veg,Bangalore,Gold,Indian,4.5
33,34,844,350,15-06-2023,455.96,Classic Curry House South Indian,Chennai,Gold,Mexican,3.2
34,35,2858,291,15-05-2023,121.81,Annapurna Foods Non-Veg,Hyderabad,Regular,Mexican,4.3
35,36,186,113,12-09-2023,140.83,Darbar Biryani Pure Veg,Chennai,Regular,Chinese,5.0
36,37,952,34,01-02-2023,1198.64,Ruchi Dhaba Multicuisine,Chennai,Gold,Chinese,4.3
37,38,2972,376,11-01-2023,751.82,Amma Cafe Non-Veg,Bangalore,Regular,Indian,3.4
38,39,118,170,23-02-2023,596.06,Spice Tiffins Family Restaurant,Pune,Regular,Mexican,4.4
39,40,2773,63,25-07-2023,622.5,Ruchi Foods South Indian,Pune,Gold,Italian,5.0
40,41,1071,145,09-01-2023,753.16,Amma Restaurant South Indian,Hyderabad,Gold,Italian,3.1
41,42,2274,121,21-01-2023,955.51,Sri Delights Non-Veg,Chennai,Regular,Indian,4.1
42,43,380,256,26-03-2023,850.52,Sri Curry House Andhra,Bangalore,Regular,Italian,3.1
43,44,633,161,04-12-2023,512.14,Annapurna Biryani South Indian,Pune,Gold,Mexican,3.8
44,45,1146,426,13-09-2023,914.87,Royal Foods Non-Veg,Pune,Gold,Chinese,3.5
45,46,2294,72,25-12-2023,602.82,Sri Foods Chinese,Pune,Regular,Mexican,3.4
46,47,505,69,30-09-2023,929.24,Classic Tiffins Punjabi,Hyderabad,Gold,Chinese,4.9
47,48,372,397,30-11-2023,957.14,Amma Foods Family Restaurant,Chennai,Regular,Indian,4.8
48,49,2911,234,10-02-2023,183.82,Swagath Kitchen North Indian,Pune,Regular,Chinese,3.7
49,50,1673,118,26-09-2023,298.54,Amma Mess Pure Veg,Chennai,Regular,Mexican,3.8
50,51,1853,381,10-05-2023,893.66,New Delights North Indian,Hyderabad,Gold,Italian,4.6
51,52,799,462,18-08-2023,1423.59,Grand Curry House Family Restaurant,Chennai,Regular,Italian,3.1
52,53,638,262,14-12-2023,261.16,Hotel Cafe Punjabi,Hyderabad,Regular,Chinese,4.9
53,54,1042,266,06-09-2023,334.11,Annapurna Delights Multicuisine,Pune,Gold,Italian,3.9
54,55,2610,172,08-06-2023,838.38,Darbar Eatery Family Restaurant,Pune,Regular,Italian,3.9
55,56,2560,215,20-10-2023,1499.8,Spice Biryani Punjabi,Pune,Gold,Mexican,4.4
56,57,392,273,16-06-2023,852.11,Swagath Delights Andhra,Chennai,Regular,Indian,3.9
57,58,606,361,22-02-2023,1281.55,Royal Dhaba Punjabi,Hyderabad,Gold,Indian,4.5
58,59,1785,247,07-11-2023,169.22,Hotel Mess Punjabi,Bangalore,Gold,Mexican,3.2
59,60,1077,373,10-04-2023,544.55,Sai Delights Chinese,Chennai,Regular,Indian,3.6
60,61,1753,130,30-08-2023,1134.71,Royal Restaurant South Indian,Hyderabad,Gold,Indian,4.6
61,62,723,165,24-11-2023,722.78,Udupi Kitchen Chinese,Bangalore,Gold,Mexican,4.3
62,63,205,339,27-07-2023,1107.3,Annapurna Eatery South Indian,Pune,Gold,Indian,3.1
63,64,1565,189,09-03-2023,625.41,Hotel Curry House Non-Veg,Pune,Regular,Indian,4.8
64,65,2905,220,07-04-2023,881.86,Spice Kitchen North Indian,Pune,Gold,Mexican,3.2
65,66,340,70,12-08-2023,1356.31,Swagath Delights Punjabi,Chennai,Regular,Chinese,4.7
66,67,2716,233,07-08-2023,781.02,Grand Cafe Family Restaurant,Pune,Regular,Italian,4.5
67,68,850,292,19-04-2023,165.97,Amma Cafe North Indian,Chennai,Regular,Mexican,4.0
68,69,929,162,10-07-2023,1377.54,New Foods Multicuisine,Chennai,Gold,Italian,3.3
69,70,179,463,23-09-2023,890.18,Hotel Delights Chinese,Bangalore,Regular,Chinese,3.2
70,71,773,256,18-05-2023,1401.97,Sri Curry House Andhra,Pune,Gold,Italian,3.1
71,72,204,413,28-11-2023,575.36,Sai Curry House Punjabi,Bangalore,Regular,Italian,3.3
72,73,1725,80,19-04-2023,765.76,Spice Mess Chinese,Bangalore,Gold,Italian,3.9
73,74,1284,229,01-12-2023,1223.01,Ruchi Mess Family Restaurant,Chennai,Regular,Italian,3.8
74,75,849,444,22-08-2023,700.31,Classic Cafe Family Restaurant,Pune,Regular,Chinese,4.7
75,76,1565,233,28-08-2023,1117.61,Grand Cafe Family Restaurant,Pune,Regular,Italian,4.5
76,77,1632,80,22-10-2023,851.28,Spice Mess Chinese,Bangalore,Regular,Italian,3.9
77,78,2286,432,24-12-2023,271.81,Hotel Eatery Pure Veg,Chennai,Regular,Mexican,5.0
78,79,1396,242,09-03-2023,1052.51,Classic Dhaba Punjabi,Pune,Gold,Mexican,4.0
79,80,1965,291,23-02-2023,1323.7,Annapurna Foods Non-Veg,Hyderabad,Gold,Mexican,4.3
80,81,2320,368,18-08-2023,537.78,Sri Dhaba Pure Veg,Hyderabad,Gold,Indian,4.4
81,82,38,257,11-01-2023,1326.03,Sri Kitchen Family Restaurant,Chennai,Gold,Italian,3.4
82,83,1149,347,03-09-2023,961.02,Amma Delights Chinese,Chennai,Gold,Chinese,4.8
83,84,2879,196,29-12-2023,488.53,Hotel Curry House Chinese,Pune,Gold,Italian,5.0
84,85,2917,201,12-11-2023,1102.52,Spice Cafe Pure Veg,Bangalore,Gold,Mexican,3.4
85,86,2563,423,28-10-2023,1018.04,Royal Tiffins Multicuisine,Hyderabad,Regular,Indian,3.2
86,87,1750,385,14-04-2023,1103.42,Ruchi Mess Multicuisine,Pune,Gold,Chinese,4.4
87,88,58,320,01-06-2023,196.11,Hotel Cafe Multicuisine,Bangalore,Regular,Italian,4.1
88,89,1619,158,20-06-2023,619.05,Hotel Biryani Pure Veg,Bangalore,Regular,Indian,4.5
89,90,2760,320,16-01-2023,264.05,Hotel Cafe Multicuisine,Hyderabad,Regular,Italian,4.1
90,91,2309,476,07-07-2023,391.36,Royal Curry House Multicuisine,Chennai,Gold,Mexican,3.4
91,92,81,200,07-01-2023,870.09,Annapurna Restaurant Pure Veg,Chennai,Regular,Chinese,3.9
92,93,2874,1,22-01-2023,441.18,Royal Kitchen Family Restaurant,Hyderabad,Regular,Chinese,4.8
93,94,587,176,10-12-2023,285.28,Classic Delights North Indian,Chennai,Regular,Italian,4.0
94,95,570,280,20-02-2023,795.58,Taste of Dhaba Andhra,Bangalore,Gold,Chinese,3.7
95,96,1048,157,17-09-2023,711.84,Sai Restaurant Family Restaurant,Pune,Regular,Italian,4.5
96,97,614,335,18-09-2023,190.14,New Biryani Family Restaurant,Hyderabad,Regular,Italian,3.9
97,98,1135,161,05-12-2023,1225.83,Annapurna Biryani South Indian,Bangalore,Regular,Mexican,3.8
98,99,549,11,25-11-2023,146.68,Taste of Kitchen Family Restaurant,Pune,Gold,Chinese,4.9
99,100,2811,484,15-12-2023,632.94,Taste of Biryani Punjabi,Bangalore,Gold,Mexican,4.2
100,101,1337,96,24-09-2023,852.59,Annapurna Biryani Non-Veg,Bangalore,Regular,Mexican,4.4
101,102,991,482,07-03-2023,913.83,Classic Tiffins Pure Veg,Pune,Regular,Chinese,4.5
102,103,1922,492,11-04-2023,1017.18,Swagath Kitchen North Indian,Chennai,Gold,Italian,4.0
103,104,1115,379,03-10-2023,1191.17,New Dhaba South Indian,Chennai,Regular,Mexican,4.1
104,105,804,407,01-06-2023,109.14,Grand Cafe Chinese,Bangalore,Gold,Mexican,4.6
105,106,2873,68,18-11-2023,1352.79,Taste of Biryani Andhra,Pune,Gold,Italian,4.1
106,107,1118,388,05-03-2023,1037.09,Spice Cafe South Indian,Pune,Gold,Indian,3.9
107,108,1493,5,16-04-2023,1375.29,Udupi Foods South Indian,Chennai,Regular,Chinese,4.8
108,109,532,432,27-05-2023,1461.82,Hotel Eatery Pure Veg,Hyderabad,Gold,Mexican,5.0
109,110,1350,220,04-06-2023,932.09,Spice Kitchen North Indian,Bangalore,Gold,Mexican,3.2
110,111,1416,66,30-03-2023,1346.23,Swagath Dhaba Punjabi,Pune,Regular,Italian,4.7
111,112,2446,447,15-11-2023,149.76,Amma Biryani South Indian,Bangalore,Gold,Chinese,3.2
112,113,2265,28,13-04-2023,475.81,Swagath Delights Multicuisine,Pune,Gold,Chinese,3.6
113,114,142,390,29-07-2023,842.42,Grand Restaurant Pure Veg,Pune,Regular,Mexican,4.7
114,115,827,184,17-02-2023,367.72,Annapurna Tiffins Punjabi,Chennai,Gold,Mexican,3.5
115,116,2476,319,12-03-2023,296.82,Darbar Eatery Family Restaurant,Pune,Regular,Indian,3.1
116,117,1449,328,07-05-2023,1485.31,Ruchi Curry House Andhra,Pune,Gold,Mexican,4.6
117,118,1209,209,22-07-2023,880.41,Royal Tiffins Family Restaurant,Bangalore,Gold,Indian,3.6
118,119,1741,257,18-09-2023,1008.64,Sri Kitchen Family Restaurant,Pune,Gold,Italian,3.4
119,120,1385,379,06-08-2023,1146.39,New Dhaba South Indian,Bangalore,Regular,Mexican,4.1
120,121,383,438,31-07-2023,930.64,Grand Biryani Pure Veg,Hyderabad,Regular,Italian,3.2
121,122,2661,376,01-08-2023,769.46,Amma Cafe Non-Veg,Chennai,Gold,Indian,3.4
122,123,2440,73,17-12-2023,1492.73,Spice Mess Andhra,Pune,Regular,Mexican,3.1
123,124,257,102,07-06-2023,996.95,Darbar Foods Andhra,Chennai,Regular,Italian,4.9
124,125,1649,14,09-10-2023,1345.86,Taste of Tiffins North Indian,Chennai,Gold,Indian,3.8
125,126,970,122,29-09-2023,320.68,Amma Eatery Non-Veg,Bangalore,Regular,Indian,3.9
126,127,2913,309,04-01-2023,1251.4,Ruchi Curry House Multicuisine,Pune,Gold,Indian,4.5
127,128,42,152,10-06-2023,379.57,Hotel Curry House Punjabi,Bangalore,Regular,Indian,4.8
128,129,1227,46,28-11-2023,158.62,Udupi Delights Family Restaurant,Hyderabad,Gold,Chinese,3.6
129,130,1128,418,05-09-2023,710.77,Annapurna Foods Multicuisine,Pune,Gold,Chinese,3.3
130,131,2850,389,10-08-2023,1406.07,Ruchi Mess Multicuisine,Hyderabad,Gold,Italian,4.9
131,132,778,302,03-03-2023,198.22,Spice Curry House Andhra,Hyderabad,Gold,Mexican,4.9
132,133,2384,165,29-03-2023,872.28,Udupi Kitchen Chinese,Pune,Regular,Mexican,4.3
